no token: 60
								TK_ASSIGNOP,		TK_COMMENT,		TK_FIELDID,		TK_ID,		TK_NUM,		TK_RNUM,		TK_FUNID,		TK_RUID,		TK_WITH,		TK_PARAMETERS,		TK_END,		TK_WHILE,		TK_UNION,		TK_ENDUNION,		TK_DEFINETYPE,		TK_AS,		TK_TYPE,		TK_MAIN,		TK_GLOBAL,		TK_PARAMETER,		TK_LIST,		TK_SQL,		TK_SQR,		TK_INPUT,		TK_OUTPUT,		TK_INT,		TK_REAL,		TK_COMMA,		TK_SEM,		TK_COLON,		TK_DOT,		TK_ENDWHILE,		TK_OP,		TK_CL,		TK_IF,		TK_THEN,		TK_ENDIF,		TK_READ,		TK_WRITE,		TK_RETURN,		TK_PLUS,		TK_MINUS,		TK_MUL,		TK_DIV,		TK_CALL,		TK_RECORD,		TK_ENDRECORD,		TK_ELSE,		TK_AND,		TK_OR,		TK_NOT,		TK_LT,		TK_LE,		TK_EQ,		TK_GT,		TK_GE,		TK_NE,		EPSILON,		DOLLAR,		TK_ERROR,		
program,						-1,		-1,		-1,		-1,		-1,		-1,		0,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		0,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		
mainFunction,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		
otherFunctions,						-1,		-1,		-1,		-1,		-1,		-1,		2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
function,						-1,		-1,		-1,		-1,		-1,		-1,		4,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
input_par,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		5,		-2,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
output_par,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		6,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
parameter_list,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		8,		-1,		-1,		-1,		-1,		8,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		8,		8,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		8,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
dataType,						-1,		-1,		-1,		-2,		-1,		-1,		-1,		10,		-1,		-1,		-1,		-1,		10,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		9,		9,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		10,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
primitiveDatatype,						-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		11,		12,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
constructedDatatype,						-1,		-1,		-1,		-2,		-1,		-1,		-1,		15,		-1,		-1,		-1,		-1,		14,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		13,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
